timestamp,date,day_of_week,hour,minute,station,direction,is_peak_hour,passenger_count
2025-10-01 04:00:00,2025-10-01,Wednesday,4,0,Virar,Southbound,0,412
2025-10-01 04:05:00,2025-10-01,Wednesday,4,5,Kandivali,Southbound,0,347
2025-10-01 04:15:00,2025-10-01,Wednesday,4,15,Borivali,Southbound,0,671
2025-10-01 04:30:00,2025-10-01,Wednesday,4,30,Charni Road,Southbound,0,261
2025-10-01 04:40:00,2025-10-01,Wednesday,4,40,Charni Road,Southbound,0,257
2025-10-01 05:15:00,2025-10-01,Wednesday,5,15,Andheri,Southbound,0,634
2025-10-01 05:15:00,2025-10-01,Wednesday,5,15,Kandivali,Northbound,0,359
2025-10-01 05:20:00,2025-10-01,Wednesday,5,20,Dahisar,Southbound,0,113
2025-10-01 05:40:00,2025-10-01,Wednesday,5,40,Jogeshwari,Northbound,0,125
2025-10-01 06:00:00,2025-10-01,Wednesday,6,0,Grant Road,Northbound,0,155
2025-10-01 06:05:00,2025-10-01,Wednesday,6,5,Grant Road,Southbound,0,207
2025-10-01 06:05:00,2025-10-01,Wednesday,6,5,Dadar,Southbound,0,589
2025-10-01 06:15:00,2025-10-01,Wednesday,6,15,Borivali,Northbound,0,673
2025-10-01 06:15:00,2025-10-01,Wednesday,6,15,Kandivali,Northbound,0,529
2025-10-01 06:20:00,2025-10-01,Wednesday,6,20,Mumbai Central,Southbound,0,150
2025-10-01 06:40:00,2025-10-01,Wednesday,6,40,Marine Lines,Southbound,0,137
2025-10-01 06:45:00,2025-10-01,Wednesday,6,45,Churchgate,Southbound,0,308
2025-10-01 07:00:00,2025-10-01,Wednesday,7,0,Dadar,Southbound,1,1000
2025-10-01 07:20:00,2025-10-01,Wednesday,7,20,Kandivali,Northbound,1,1000
2025-10-01 07:30:00,2025-10-01,Wednesday,7,30,Bandra,Southbound,1,1000
2025-10-01 07:40:00,2025-10-01,Wednesday,7,40,Jogeshwari,Northbound,1,583
2025-10-01 07:45:00,2025-10-01,Wednesday,7,45,Mumbai Central,Southbound,1,659
2025-10-01 07:50:00,2025-10-01,Wednesday,7,50,Borivali,Southbound,1,992
2025-10-01 08:05:00,2025-10-01,Wednesday,8,5,Kandivali,Northbound,1,1000
2025-10-01 08:15:00,2025-10-01,Wednesday,8,15,Bandra,Southbound,1,1000
2025-10-01 08:20:00,2025-10-01,Wednesday,8,20,Marine Lines,Southbound,1,525
2025-10-01 08:20:00,2025-10-01,Wednesday,8,20,Charni Road,Southbound,1,718
2025-10-01 08:20:00,2025-10-01,Wednesday,8,20,Grant Road,Southbound,1,809
2025-10-01 08:20:00,2025-10-01,Wednesday,8,20,Virar,Northbound,1,921
2025-10-01 08:45:00,2025-10-01,Wednesday,8,45,Marine Lines,Northbound,1,796
2025-10-01 08:45:00,2025-10-01,Wednesday,8,45,Andheri,Southbound,1,1000
2025-10-01 08:45:00,2025-10-01,Wednesday,8,45,Bandra,Southbound,1,1000
2025-10-01 09:00:00,2025-10-01,Wednesday,9,0,Grant Road,Southbound,1,622
2025-10-01 09:00:00,2025-10-01,Wednesday,9,0,Dadar,Southbound,1,1000
